Edge    Weight
526 - 321      0.33
194 - 322      0.24
754 - 323      0.12
771 - 324      0.05
195 - 325      0.17
645 - 326      0.01
940 - 327      0.04
935 - 328      0.99
664 - 329      0.70
749 - 330      0.30
945 - 331      0.48
377 - 332      0.28
761 - 333      0.13
345 - 334      0.04
90 - 335      0.50
558 - 336      0.29
194 - 337      0.27
683 - 338      0.05
655 - 339      0.58
927 - 340      0.03
487 - 341      0.21
809 - 342      0.09
989 - 343      0.36
231 - 344      0.18
386 - 345      0.12
97 - 346      0.08
802 - 347      0.08
16 - 348      0.15
37 - 349      0.27
468 - 350      0.23
417 - 351      0.16
976 - 352      0.16
260 - 353      0.16
385 - 354      0.02
808 - 355      0.21
638 - 356      0.01
955 - 357      0.19
38 - 358      0.06
140 - 359      0.35
474 - 360      0.69
884 - 361      0.12
966 - 362      0.33
856 - 363      0.39
86 - 364      0.15
495 - 365      0.22
530 - 366      0.51
286 - 367      0.01
153 - 368      0.16
825 - 369      0.02
224 - 370      0.30
23 - 371      0.07
918 - 372      0.41
361 - 373      0.07
382 - 374      0.24
556 - 375      0.58
303 - 376      0.19
344 - 377      0.03
357 - 378      0.08
392 - 379      0.08
853 - 380      0.48
186 - 381      0.29
41 - 382      0.08
908 - 383      0.27
293 - 384      0.45
920 - 385      0.20
332 - 386      0.27
295 - 387      0.00
858 - 388      0.39
83 - 389      0.02
858 - 390      0.21
844 - 391      0.33
794 - 392      0.14
208 - 393      0.16
739 - 394      0.09
895 - 395      0.14
123 - 396      0.04
157 - 397      0.03
875 - 398      0.13
627 - 399      0.41
29 - 400      1.17
374 - 401      0.17
85 - 402      0.01
773 - 403      0.41
320 - 404      0.11
313 - 405      0.41
593 - 406      0.31
44 - 407      0.10
932 - 408      0.11
398 - 409      0.03
783 - 410      0.28
688 - 411      0.27
885 - 412      0.14
990 - 413      0.62
825 - 414      0.19
507 - 415      0.07
232 - 416      0.14
456 - 417      0.31
157 - 418      0.27
437 - 419      0.42
315 - 420      0.11
739 - 421      0.03
408 - 422      0.10
221 - 423      0.38
857 - 424      0.09
75 - 425      0.16
218 - 426      0.01
670 - 427      0.20
439 - 428      0.25
769 - 429      0.18
991 - 430      0.11
222 - 431      0.23
675 - 432      1.48
546 - 433      0.00
923 - 434      0.03
709 - 435      0.23
954 - 436      0.34
417 - 437      0.18
87 - 438      0.12
785 - 439      0.03
559 - 440      0.29
393 - 441      0.03
817 - 442      0.41
683 - 443      0.15
140 - 444      0.95
234 - 445      0.00
315 - 446      0.32
569 - 447      0.27
999 - 448      0.17
461 - 449      0.11
189 - 450      0.31
713 - 451      0.20
424 - 452      0.02
239 - 453      0.01
352 - 454      0.34
941 - 455      0.39
266 - 456      0.10
956 - 457      0.00
354 - 458      0.51
511 - 459      0.29
741 - 460      0.46
938 - 461      0.07
85 - 462      0.37
310 - 463      0.04
181 - 464      0.11
98 - 465      0.08
160 - 466      0.26
845 - 467      0.24
772 - 468      0.15
895 - 469      0.18
419 - 470      0.31
650 - 471      0.36
561 - 472      0.16
310 - 473      0.23
356 - 474      0.09
126 - 475      0.23
706 - 476      0.09
798 - 477      0.03
732 - 478      0.11
326 - 479      0.01
814 - 480      0.35
248 - 481      0.18
56 - 482      0.10
430 - 483      0.09
435 - 484      0.20
763 - 485      0.22
821 - 486      0.93
282 - 487      0.01
677 - 488      0.13
811 - 489      0.19
383 - 490      0.08
600 - 491      0.12
20 - 492      0.02
15 - 493      0.28
140 - 494      0.26
949 - 495      0.23
226 - 496      0.03
645 - 497      0.17
816 - 498      0.18
632 - 499      0.36
165 - 500      0.07
95 - 501      0.46
202 - 502      0.00
250 - 503      0.35
263 - 504      0.23
925 - 505      0.20
115 - 506      0.01
595 - 507      0.09
461 - 508      0.68
369 - 509      0.09
982 - 510      0.03
492 - 511      0.43
115 - 512      0.28
721 - 513      0.01
590 - 514      0.42
698 - 515      0.12
956 - 516      0.16
703 - 517      1.05
932 - 518      0.27
634 - 519      0.35
549 - 520      0.07
530 - 521      1.23
161 - 522      0.30
100 - 523      0.22
297 - 524      0.03
315 - 525      0.19
873 - 526      0.25
729 - 527      0.28
178 - 528      0.10
619 - 529      0.39
789 - 530      0.40
317 - 531      0.15
994 - 532      0.22
890 - 533      0.21
379 - 534      0.05
808 - 535      0.11
309 - 536      0.28
259 - 537      0.37
665 - 538      0.03
732 - 539      0.20
135 - 540      0.21
841 - 541      0.56
923 - 542      0.13
820 - 543      0.22
401 - 544      0.37
866 - 545      0.19
386 - 546      0.34
473 - 547      0.10
779 - 548      0.22
883 - 549      0.33
249 - 550      0.08
748 - 551      0.01
771 - 552      0.11
387 - 553      0.12
998 - 554      0.03
335 - 555      0.66
214 - 556      0.32
193 - 557      0.07
333 - 558      0.17
995 - 559      0.30
578 - 560      0.68
348 - 561      0.05
296 - 562      0.24
396 - 563      0.02
873 - 564      0.09
158 - 565      0.01
796 - 566      0.12
304 - 567      0.63
21 - 568      0.24
317 - 569      0.07
453 - 570      0.13
313 - 571      0.17
921 - 572      0.30
807 - 573      0.11
173 - 574      0.25
73 - 575      0.24
887 - 576      0.35
376 - 577      0.07
826 - 578      0.37
660 - 579      0.37
637 - 580      0.10
125 - 581      0.41
157 - 582      0.36
727 - 583      0.17
868 - 584      0.34
601 - 585      0.14
825 - 586      0.22
174 - 587      0.31
796 - 588      0.27
985 - 589      0.25
635 - 590      0.14
488 - 591      0.04
365 - 592      0.12
520 - 593      0.35
77 - 594      0.15
379 - 595      0.21
320 - 596      0.36
460 - 597      0.14
398 - 598      0.12
99 - 599      0.04
805 - 600      0.24
169 - 601      0.33
561 - 602      0.01
441 - 603      0.10
50 - 604      0.19
313 - 605      0.27
448 - 606      0.26
395 - 607      0.06
395 - 608      0.17
213 - 609      0.04
14 - 610      0.78
341 - 611      0.25
498 - 612      0.51
690 - 613      0.04
755 - 614      0.71
509 - 615      0.32
520 - 616      0.06
426 - 617      0.20
76 - 618      0.28
338 - 619      0.20
83 - 620      0.07
263 - 621      0.31
592 - 622      0.01
5 - 623      0.30
900 - 624      0.19
989 - 625      0.42
539 - 626      0.11
957 - 627      0.37
326 - 628      0.21
371 - 629      0.82
607 - 630      0.39
762 - 631      0.04
531 - 632      0.03
398 - 633      0.14
310 - 634      0.01
856 - 635      0.23
790 - 636      0.03
534 - 637      0.13
898 - 638      0.01
532 - 639      0.32
178 - 640      0.46
11 - 641      0.33
136 - 642      0.13
829 - 643      0.42
611 - 644      0.13
598 - 645      0.03
763 - 646      0.08
694 - 647      0.37
965 - 648      0.51
461 - 649      0.46
476 - 650      0.70
224 - 651      0.05
496 - 652      0.07
970 - 653      0.25
372 - 654      0.18
407 - 655      0.29
380 - 656      0.32
121 - 657      0.25
500 - 658      0.18
816 - 659      0.06
479 - 660      0.23
973 - 661      0.21
579 - 662      0.18
276 - 663      0.23
992 - 664      0.21
717 - 665      0.20
631 - 666      0.11
21 - 667      0.40
161 - 668      0.33
159 - 669      0.46
278 - 670      0.08
966 - 671      0.65
32 - 672      0.08
564 - 673      0.39
478 - 674      0.24
353 - 675      0.15
53 - 676      0.13
666 - 677      0.26
558 - 678      0.06
310 - 679      0.08
700 - 680      0.14
285 - 681      0.16
779 - 682      0.50
846 - 683      0.29
76 - 684      0.36
200 - 685      0.43
109 - 686      0.40
91 - 687      0.20
697 - 688      0.31
59 - 689      0.08
9 - 690      0.17
701 - 691      0.21
739 - 692      0.90
636 - 693      0.02
852 - 694      0.16
177 - 695      0.12
714 - 696      0.40
66 - 697      0.06
285 - 698      0.03
201 - 699      0.22
611 - 700      0.27
613 - 701      0.23
923 - 702      0.01
492 - 703      0.40
114 - 704      0.78
47 - 705      0.31
766 - 706      0.30
150 - 707      0.26
354 - 708      0.44
959 - 709      0.17
153 - 710      0.16
391 - 711      0.11
575 - 712      0.43
204 - 713      0.15
65 - 714      0.06
103 - 715      0.29
759 - 716      0.00
584 - 717      0.34
741 - 718      0.25
247 - 719      0.09
117 - 720      0.27
652 - 721      0.03
279 - 722      0.24
592 - 723      0.19
320 - 724      0.08
183 - 725      0.18
861 - 726      0.35
217 - 727      0.15
72 - 728      0.59
41 - 729      0.09
858 - 730      0.09
474 - 731      0.28
30 - 732      0.22
284 - 733      0.10
422 - 734      0.18
917 - 735      0.13
718 - 736      0.36
572 - 737      0.33
27 - 738      0.10
962 - 739      0.14
430 - 740      0.31
358 - 741      0.30
258 - 742      0.34
289 - 743      0.57
426 - 744      0.15
253 - 745      0.10
429 - 746      0.21
744 - 747      0.08
161 - 748      0.15
913 - 749      0.27
666 - 750      0.27
296 - 751      0.33
480 - 752      0.54
584 - 753      0.16
674 - 754      0.30
46 - 755      0.13
453 - 756      0.05
814 - 757      0.18
953 - 758      0.14
386 - 759      0.28
294 - 760      0.20
527 - 761      0.27
1 - 762      0.09
695 - 763      0.04
970 - 764      0.26
409 - 765      0.39
840 - 766      0.09
425 - 767      0.26
11 - 768      0.29
613 - 769      0.18
73 - 770      0.10
202 - 771      0.19
992 - 772      0.26
835 - 773      0.34
568 - 774      0.12
939 - 775      0.18
927 - 776      0.06
593 - 777      0.27
173 - 778      0.08
745 - 779      0.33
474 - 780      0.84
961 - 781      0.18
449 - 782      0.08
608 - 783      0.02
237 - 784      0.27
103 - 785      0.34
636 - 786      0.18
831 - 787      0.05
200 - 788      0.09
925 - 789      0.16
727 - 790      0.08
812 - 791      0.48
961 - 792      0.02
325 - 793      0.21
32 - 794      0.08
678 - 795      0.33
573 - 796      0.26
967 - 797      0.13
20 - 798      0.26
855 - 799      0.48
293 - 800      0.26
805 - 801      0.32
353 - 802      0.07
96 - 803      0.16
141 - 804      0.08
341 - 805      0.01
698 - 806      0.47
624 - 807      0.22
831 - 808      0.09
272 - 809      0.37
815 - 810      0.39
762 - 811      0.03
546 - 812      0.02
722 - 813      0.30
900 - 814      0.04
215 - 815      0.36
568 - 816      0.00
385 - 817      0.18
622 - 818      0.25
668 - 819      0.29
831 - 820      0.13
353 - 821      0.08
224 - 822      0.36
172 - 823      0.31
387 - 824      0.48
478 - 825      0.05
244 - 826      0.38
681 - 827      0.26
895 - 828      0.22
291 - 829      0.01
100 - 830      0.15
564 - 831      0.20
824 - 832      0.28
423 - 833      0.40
659 - 834      0.27
105 - 835      0.19
677 - 836      0.52
250 - 837      0.05
754 - 838      0.17
6 - 839      0.34
45 - 840      0.14
257 - 841      0.12
829 - 842      0.35
324 - 843      0.10
313 - 844      0.07
912 - 845      0.36
700 - 846      0.05
864 - 847      0.08
595 - 848      0.08
782 - 849      0.06
27 - 850      0.16
642 - 851      0.31
883 - 852      0.10
204 - 853      0.32
147 - 854      0.41
125 - 855      0.03
138 - 856      0.04
957 - 857      0.19
547 - 858      0.17
55 - 859      0.14
997 - 860      0.17
168 - 861      0.05
814 - 862      0.34
714 - 863      0.18
843 - 864      0.12
733 - 865      0.05
733 - 866      0.45
917 - 867      0.50
260 - 868      0.14
433 - 869      0.16
860 - 870      0.02
289 - 871      0.23
988 - 872      0.25
884 - 873      0.10
